PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2015-00016,2015/01/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00137,2015/01/08,Demolition,Demolition,3203 - Warehouse,Commercial,Non-Residential,Demolition,
BP2015-00185,2015/01/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00184,2015/01/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00162,2015/01/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00242,2015/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00220,2015/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00219,2015/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00241,2015/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00290,2015/01/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00380,2015/01/15,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00437,2015/01/15,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00450,2015/01/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00477,2015/01/16,Demolition,Demolition,3402 - Office,Commercial,Non-Residential,Demolition,
BP2015-00453,2015/01/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00590,2015/01/20,Demolition,Demolition,3105 - Repair Shop,Commercial,Non-Residential,Demolition,
BP2015-00665,2015/01/21,Demolition,Demolition,3506 - Clubhouse,Commercial,Non-Residential,Demolition,
BP2015-00682,2015/01/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00734,2015/01/22,Demolition,Demolition,3204 - Warehouse/Office,Commercial,Non-Residential,Demolition,
BP2015-00731,2015/01/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00693,2015/01/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00729,2015/01/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00756,2015/01/23,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00766,2015/01/23,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00803,2015/01/26,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00845,2015/01/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00841,2015/01/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00969,2015/01/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-00941,2015/01/29,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01038,2015/01/30,Demolition,Demolition,3613 - Restaurant - Licensed,Commercial,Non-Residential,Demolition,
BP2015-01104,2015/02/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01054,2015/02/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01178,2015/02/04,Demolition,Demolition,3304 - Repair Garage,Commercial,Non-Residential,Demolition,
BP2015-01177,2015/02/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01166,2015/02/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01179,2015/02/04,Demolition,Demolition,3301 - Car Wash,Commercial,Non-Residential,Demolition,
BP2015-01319,2015/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01367,2015/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01357,2015/02/09,Demolition,Demolition,1101 - Improvements (Single Family),Single Family,Residential,Demolition,
BP2015-01365,2015/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01385,2015/02/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01475,2015/02/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01498,2015/02/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01479,2015/02/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01690,2015/02/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01677,2015/02/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01634,2015/02/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01664,2015/02/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01635,2015/02/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01633,2015/02/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01742,2015/02/18,Demolition,Demolition,1506 - Apt Apartment,Apartment,Residential,Demolition,
BP2015-01729,2015/02/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01726,2015/02/18,Demolition,Demolition,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,Demolition,
BP2015-01739,2015/02/18,Demolition,Demolition,3106 - Retail Shop,Commercial,Non-Residential,Demolition,
BP2015-01743,2015/02/18,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01907,2015/02/23,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-01978,2015/02/24,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02009,2015/02/24,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02012,2015/02/24,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02029,2015/02/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02030,2015/02/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02038,2015/02/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02026,2015/02/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02110,2015/02/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02100,2015/02/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02107,2015/02/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02131,2015/02/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02101,2015/02/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02236,2015/03/03,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02263,2015/03/04,Demolition,Demolition,5202 - Clinic,Institutional,Non-Residential,Demolition,
BP2015-02247,2015/03/04,Demolition,Demolition,1101 - Improvements (Single Family),Single Family,Residential,Demolition,
BP2015-02262,2015/03/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02374,2015/03/06,Demolition,Demolition,3106 - Retail Shop,Commercial,Non-Residential,Demolition,
BP2015-02440,2015/03/09,Demolition,Demolition,5401 - Church,Institutional,Non-Residential,Demolition,
BP2015-02423,2015/03/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02422,2015/03/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02506,2015/03/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02510,2015/03/10,Demolition,Demolition,1408 - Semi-Detached (2-Unit),Two Family,Residential,Demolition,
BP2015-02508,2015/03/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02482,2015/03/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02501,2015/03/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-02509,2015/03/10,Demolition,Demolition,1408 - Semi-Detached (2-Unit),Two Family,Residential,Demolition,
